"STT","Nhóm","Nhà cung cấp","Mô hình / chế độ","Credit","Đơn vị tính","Giá USD","Giá tham chiếu FAL USD","Mức tiết kiệm (%)","Trang model","Ngày đối chiếu","Nguồn"
"159","video","Kling","Kling 3.0, video, without audio-4K","67","per second","0.335","0.42","20.24","https://kie.ai/kling-3-0","2026-07-20","https://kie.ai/pricing"
"160","video","Kling","Kling 3.0, video, with audio-1080P","27","per second","0.135","0.168","19.64","https://kie.ai/kling-3-0","2026-07-20","https://kie.ai/pricing"
"161","video","Kling","Kling 3.0, video, without audio-1080P","18","per second","0.09","0.112","19.64","https://kie.ai/kling-3-0","2026-07-20","https://kie.ai/pricing"
"162","video","Kling","Kling 3.0, video, with audio-720P","20","per second","0.1","0.126","20.63","https://kie.ai/kling-3-0","2026-07-20","https://kie.ai/pricing"
"163","video","Kling","Kling 3.0, video, without audio-720P","14","per second","0.07","0.084","16.67","https://kie.ai/kling-3-0","2026-07-20","https://kie.ai/pricing"
"164","music","Suno","Suno, Boost Music Style Boost","0.4","per request","0.002","","0","https://kie.ai/suno-api?model=ai-music-api%2Fboost-music-style","2026-07-20","https://kie.ai/pricing"
"165","image","Recraft","Recraft Remove Background , image to image","1.0","per image","0.005","0.01","50","https://kie.ai/recraft-remove-background","2026-07-20","https://kie.ai/pricing"
"166","music","Elevenlabs","Elevenlabs V3 , Text to dialogue","14","per 1000 characters","0.07","0.1","30","https://kie.ai/elevenlabs/text-to-dialogue-v3","2026-07-20","https://kie.ai/pricing"
"167","chat","Google","Gemini 3 Flash, Chat, Output","180","per million tokens","0.90","3","70","https://kie.ai/gemini-3-flash","2026-07-20","https://kie.ai/pricing"
"168","chat","Google","Gemini 3 Flash, Chat, Input","30","per million tokens","0.15","0.5","70","https://kie.ai/gemini-3-flash","2026-07-20","https://kie.ai/pricing"
"169","chat","Google","Gemini 3 Pro, Chat, Output","700","per million tokens","3.5","12","70.9","https://kie.ai/gemini-3-pro","2026-07-20","https://kie.ai/pricing"
"170","chat","Google","Gemini 3 Pro, Chat, Input","100","per million tokens","0.50","2","75","https://kie.ai/gemini-3-pro","2026-07-20","https://kie.ai/pricing"
"171","video","Kling","kling 2.6, text-to-video, with audio-10.0s","220.0","per video","1.1","1.4","21.43","https://kie.ai/kling-2-6?model=kling-2.6%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"172","video","Kling","kling 2.6, text-to-video, without audio-10.0s","110.0","per video","0.55","0.7","21.43","https://kie.ai/kling-2-6?model=kling-2.6%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"173","video","Kling","kling 2.6, text-to-video, without audio-5.0s","55.0","per video","0.275","0.35","21.43","https://kie.ai/kling-2-6?model=kling-2.6%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"174","video","Kling","kling 2.6, text-to-video, with audio-5.0s","110.0","per video","0.55","0.7","21.43","https://kie.ai/kling-2-6?model=kling-2.6%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"175","video","Kling","kling 2.6, image-to-video, without audio-10.0s","110.0","per video","0.55","0.7","21.43","https://kie.ai/kling-2-6?model=kling-2.6%2Fimage-to-video","2026-07-20","https://kie.ai/pricing"
"176","video","Kling","kling 2.6, image-to-video, with audio-10.0s","220.0","per video","1.1","1.4","21.43","https://kie.ai/kling-2-6?model=kling-2.6%2Fimage-to-video","2026-07-20","https://kie.ai/pricing"
"177","video","Kling","kling 2.6, image-to-video, with audio-5.0s","110.0","per video","0.55","0.7","21.43","https://kie.ai/kling-2-6?model=kling-2.6%2Fimage-to-video","2026-07-20","https://kie.ai/pricing"
"178","video","Kling","kling 2.6, image-to-video, without audio-5.0s","55.0","per video","0.275","0.35","21.43","https://kie.ai/kling-2-6","2026-07-20","https://kie.ai/pricing"
"179","video","Wan","wan 2.6, video-to-video, 15.0s-1080p","315.0","per video","1.575","2.25","30","https://kie.ai/wan-2-6?model=wan%2F2-6-video-to-video","2026-07-20","https://kie.ai/pricing"
"180","video","Wan","wan 2.6, video-to-video, 5.0s-1080p","104.5","per video","0.5225","0.75","30.33","https://kie.ai/wan-2-6?model=wan%2F2-6-video-to-video","2026-07-20","https://kie.ai/pricing"
"181","video","Wan","wan 2.6, video-to-video, 10.0s-1080p","209.5","per video","1.0475","1.5","30.17","https://kie.ai/wan-2-6?model=wan%2F2-6-video-to-video","2026-07-20","https://kie.ai/pricing"
"182","video","Wan","wan 2.6, video-to-video, 10.0s-720p","140.0","per video","0.7","1.0","30","https://kie.ai/wan-2-6?model=wan%2F2-6-video-to-video","2026-07-20","https://kie.ai/pricing"
"183","video","Wan","wan 2.6, video-to-video, 15.0s-720p","210.0","per video","1.05","1.5","30","https://kie.ai/wan-2-6?model=wan%2F2-6-video-to-video","2026-07-20","https://kie.ai/pricing"
"184","video","Wan","wan 2.6, image-to-video, 10.0s-1080p","209.5","per video","1.0475","1.5","30.17","https://kie.ai/wan-2-6?model=wan%2F2-6-image-to-video","2026-07-20","https://kie.ai/pricing"
"185","video","Wan","wan 2.6, image-to-video, 15.0s-1080p","315.0","per video","1.575","2.25","30","https://kie.ai/wan-2-6?model=wan%2F2-6-image-to-video","2026-07-20","https://kie.ai/pricing"
"186","video","Wan","wan 2.6, video-to-video, 5.0s-720p","70.0","per video","0.35","0.5","30","https://kie.ai/wan-2-6?model=wan%2F2-6-video-to-video","2026-07-20","https://kie.ai/pricing"
"187","video","Wan","wan 2.6, image-to-video, 5.0s-1080p","104.5","per video","0.5225","0.75","30.33","https://kie.ai/wan-2-6?model=wan%2F2-6-image-to-video","2026-07-20","https://kie.ai/pricing"
"188","video","Wan","wan 2.6, image-to-video, 5.0s-720p","70.0","per video","0.35","0.5","30","https://kie.ai/wan-2-6?model=wan%2F2-6-image-to-video","2026-07-20","https://kie.ai/pricing"
"189","video","Wan","wan 2.6, image-to-video, 10.0s-720p","140.0","per video","0.7","1.0","30","https://kie.ai/wan-2-6?model=wan%2F2-6-image-to-video","2026-07-20","https://kie.ai/pricing"
"190","video","Wan","wan 2.6, image-to-video, 15.0s-720p","210.0","per video","1.05","1.5","30","https://kie.ai/wan-2-6?model=wan%2F2-6-image-to-video","2026-07-20","https://kie.ai/pricing"
"191","video","Wan","wan 2.6, text to video, 5.0s-1080p","104.5","per video","0.5225","0.75","30.33","https://kie.ai/wan-2-6?model=wan%2F2-6-text-to-video","2026-07-20","https://kie.ai/pricing"
"192","video","Wan","wan 2.6, text to video, 10.0s-1080p","209.5","per video","1.0475","1.5","30.17","https://kie.ai/wan-2-6?model=wan%2F2-6-text-to-video","2026-07-20","https://kie.ai/pricing"
"193","video","Wan","wan 2.6, text to video, 15.0s-1080p","315.0","per video","1.575","2.25","30","https://kie.ai/wan-2-6?model=wan%2F2-6-text-to-video","2026-07-20","https://kie.ai/pricing"
"194","video","Wan","wan 2.6, text to video, 15.0s-720p","210.0","per video","1.05","1.5","30","https://kie.ai/wan-2-6?model=wan%2F2-6-text-to-video","2026-07-20","https://kie.ai/pricing"
"195","video","Wan","wan 2.6, text to video, 10.0s-720p","140.0","per video","0.7","1.0","30","https://kie.ai/wan-2-6?model=wan%2F2-6-text-to-video","2026-07-20","https://kie.ai/pricing"
"196","video","Wan","wan 2.6, text to video, 5.0s-720p","70.0","per video","0.35","0.5","30","https://kie.ai/wan-2-6?model=wan%2F2-6-text-to-video","2026-07-20","https://kie.ai/pricing"
"197","image","Qwen","Qwen z-image, text-to-image, 1.0s","0.8","per image","0.004","0.005","20","https://kie.ai/z-image","2026-07-20","https://kie.ai/pricing"
"198","image","Black Forest Labs","Black Forest Labs Flux 2 Flex, text to image, 1.0s-1K","14","per image","0.07","0.12","41.67","https://kie.ai/flux-2?model=flux-2%2Fflex-text-to-image","2026-07-20","https://kie.ai/pricing"
"199","image","Black Forest Labs","Black Forest Labs Flux 2 Flex, text to image, 1.0s-2K","24","per image","0.12","0.18","33.33","https://kie.ai/flux-2?model=flux-2%2Fflex-text-to-image","2026-07-20","https://kie.ai/pricing"
"200","image","Black Forest Labs","Black Forest Labs Flux 2 Flex, image to image, 1.0s-2K","24.0","per image","0.12","0.18","33.33","https://kie.ai/flux-2?model=flux-2%2Fflex-image-to-image","2026-07-20","https://kie.ai/pricing"
"201","image","Black Forest Labs","Black Forest Labs flux-2 pro, text-to-image, 1.0s-2K","7.0","per image","0.035","0.045","22.22","https://kie.ai/flux-2?model=flux-2%2Fpro-text-to-image","2026-07-20","https://kie.ai/pricing"
"202","image","Black Forest Labs","Black Forest Labs Flux 2 Flex, image to image, 1.0s-1K","14.0","per image","0.07","0.12","41.67","https://kie.ai/flux-2?model=flux-2%2Fflex-image-to-image","2026-07-20","https://kie.ai/pricing"
"203","image","Black Forest Labs","Black Forest Labs flux-2 pro, image to image, 1.0s-2K","7.0","per image","0.035","0.045","22.22","https://kie.ai/flux-2?model=flux-2%2Fpro-image-to-image","2026-07-20","https://kie.ai/pricing"
"204","image","Black Forest Labs","Black Forest Labs flux-2 pro, text-to-image, 1.0s-1K","5.0","per image","0.025","0.03","16.67","https://kie.ai/flux-2?model=flux-2%2Fpro-text-to-image","2026-07-20","https://kie.ai/pricing"
"205","image","Black Forest Labs","Black Forest Labs flux-2 pro, image to image, 1.0s-1K","5.0","per image","0.025","0.03","16.67","https://kie.ai/flux-2?model=flux-2%2Fpro-image-to-image","2026-07-20","https://kie.ai/pricing"
"206","image","Google","Google nano banana pro, 1/2K","18.0","per image","0.09","0.15","40","https://kie.ai/nano-banana-pro","2026-07-20","https://kie.ai/pricing"
"207","image","Google","Google nano banana pro, 4K","24.0","per image","0.12","0.3","60","https://kie.ai/nano-banana-pro","2026-07-20","https://kie.ai/pricing"
"208","image","Grok","grok-imagine, text-to-image(quality)","5","per 4 images","0.025","0.05","50","https://kie.ai/grok-imagine?model=grok-imagine%2Ftext-to-image","2026-07-20","https://kie.ai/pricing"
"209","video","Grok","grok-imagine, image-to-video, 720p","3","per second","0.015","0.07","78.57","https://kie.ai/grok-imagine?model=grok-imagine%2Fimage-to-video","2026-07-20","https://kie.ai/pricing"
"210","video","Grok","grok-imagine, text-to-video, 720p","3","per second","0.015","0.07","78.57","https://kie.ai/grok-imagine?model=grok-imagine%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"211","video","Grok","grok-imagine, image-to-video, 480p","1.6","per second","0.008","0.05","84","https://kie.ai/grok-imagine?model=grok-imagine%2Fimage-to-video","2026-07-20","https://kie.ai/pricing"
"212","video","Grok","grok-imagine, text-to-video, 480p","1.6","per second","0.008","0.05","84","https://kie.ai/grok-imagine?model=grok-imagine%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"213","image","Grok","grok-imagine, image-to-image","4","per  image","0.02","0.022","9.09","https://kie.ai/grok-imagine?model=grok-imagine%2Fimage-to-image","2026-07-20","https://kie.ai/pricing"
"214","image","Grok","grok-imagine, text-to-image","4.0","per 6 images","0.02","0.02","0","https://kie.ai/grok-imagine?model=grok-imagine%2Ftext-to-video","2026-07-20","https://kie.ai/pricing"
"215","video","Grok","grok-imagine, upscale, 360p→720p","10.0","per upscale","0.05","","0","https://kie.ai/grok-imagine?model=grok-imagine%2Fupscale","2026-07-20","https://kie.ai/pricing"
"216","video","Hailuo","hailuo 2.3, image-to-video, Pro-10.0s-768p","90.0","per video","0.45","","0","https://kie.ai/hailuo-2-3?model=hailuo%2F2-3-image-to-video-pro","2026-07-20","https://kie.ai/pricing"
"217","video","Hailuo","hailuo 2.3, image-to-video, Pro-6.0s-1080p","80.0","per video","0.4","0.49","18.37","https://kie.ai/hailuo-2-3?model=hailuo%2F2-3-image-to-video-pro","2026-07-20","https://kie.ai/pricing"
"218","video","Hailuo","hailuo 2.3, image-to-video, Pro-6.0s-768p","45.0","per video","0.225","","0","https://kie.ai/hailuo-2-3?model=hailuo%2F2-3-image-to-video-pro","2026-07-20","https://kie.ai/pricing"
"219","video","Hailuo","hailuo 2.3, image-to-video, Standard-6.0s-768p","30.0","per video","0.15","0.28","46.43","https://kie.ai/hailuo-2-3?model=hailuo%2F2-3-image-to-video-standard","2026-07-20","https://kie.ai/pricing"
"220","video","Hailuo","hailuo 2.3, image-to-video, Standard-10.0s-768p","50.0","per video","0.25","0.56","55.36","https://kie.ai/hailuo-2-3?model=hailuo%2F2-3-image-to-video-standard","2026-07-20","https://kie.ai/pricing"
"221","video","Hailuo","hailuo 2.3, image-to-video, Standard-6.0s-1080p","50.0","per video","0.25","","24.24","https://kie.ai/hailuo-2-3?model=hailuo%2F2-3-image-to-video-standard","2026-07-20","https://kie.ai/pricing"
"222","video","Google","Google veo 3.1, reference-to-video, Lite-4k","150","per video","0.75","4.8","84.38","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"223","video","Google","Google veo 3.1, reference-to-video, Lite-1080p","35","per video","0.175","3.2","94.53","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"224","video","Google","Google veo 3.1, reference-to-video, Lite-720p","30","per video","0.15","3.2","95.31","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"225","video","Google","Google veo 3.1, reference-to-video, Fast-4k","180","per video","0.9","1.2","25","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"226","video","Google","Google veo 3.1, reference-to-video, Fast-1080p","65","per video","0.325","1.2","72.92","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"227","video","Google","Google veo 3.1, Extend, Lite","30","per vedio","0.15","3.2","95.31","https://kie.ai/veo-3-1?model=veo%2Fextend","2026-07-20","https://kie.ai/pricing"
"228","video","Google","Google veo 3.1, text-to-video, Quality-4K","380","per video","1.85","4.8","61.46","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"229","video","Google","Google veo 3.1, image-to-video, Quality-4K","370","per video","1.85","4.8","61.46","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"230","video","Google","Google veo 3.1, text-to-video, Quality-1080p","255","per video","1.275","3.2","60.16","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"231","video","Google","Google veo 3.1, image-to-video, Quality-1080p","255","per video","1.275","3.2","60.16","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"232","video","Google","Google veo 3.1, text-to-video, Quality-720p","250","per video","1.25","3.2","60.94","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"233","video","Google","Google veo 3.1, image-to-video, Quality-720p","250","per video","1.25","3.2","60.94","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"234","video","Google","Google veo 3.1, text-to-video, Fast-4K","180","per video","0.90","2.4","62.5","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"235","video","Google","Google veo 3.1, image-to-video, Fast-4K","180","per video","0.90","2.4","62.5","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"236","video","Google","Google veo 3.1, text-to-video, Fast-1080p","65","per video","0,325","1.2","66.1","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"237","video","Google","Google veo 3.1, image-to-video, Fast-1080p","65","per video","0.325","1.2","72.92","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"238","video","Google","Google veo 3.1, text-to-video, Fast-720p","60","per video","0.30","1.2","75","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"239","video","Google","Google veo 3.1, image-to-video, Fast-720p","60","per video","0.30","1.2","75","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"240","video","Google","Google veo 3.1, text-to-video, Lite-4K","150","per video","0.75","","0","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"241","video","Google","Google veo 3.1, image-to-video, Lite-4K","150","per video","0.75","","0","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"242","video","Google","Google veo 3.1, text-to-video, Lite-1080p","35","per video","0.175","0.64","72.66","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"243","video","Google","Google veo 3.1, image-to-video, Lite-1080p","35","per video","0.175","0.64","72.66","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"244","video","Google","Google veo 3.1, text-to-video, Lite-720p","30","per video","0.15","0.45","66.67","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"245","video","Google","Google veo 3.1, image-to-video, Lite-720p","30","per video","0.15","0.45","66.67","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"246","video","Google","Google veo 3.1, Extend, Quality","250","per video","1.25","2.8","55.36","https://kie.ai/veo-3-1?model=veo%2Fextend","2026-07-20","https://kie.ai/pricing"
"247","video","Google","Google veo 3.1, Extend, Fast","60","per video","0.30","3.5","91.43","https://kie.ai/veo-3-1?model=veo%2Fextend","2026-07-20","https://kie.ai/pricing"
"248","video","Google","Google veo 3.1, Get 1080P Video","5","per video","0.025","","99.22","https://kie.ai/veo-3-1?model=veo%2Fget-1080p-video","2026-07-20","https://kie.ai/pricing"
"249","video","Google","Google veo 3.1, Get 4K Video","120.0","per video","0.6","","62.5","https://docs.kie.ai/veo3-api/get-veo-3-4k-video","2026-07-20","https://kie.ai/pricing"
"250","video","Google","Google veo 3.1, reference-to-video, Fast-720p","60.0","per video","0.3","1.2","75","https://kie.ai/veo-3-1","2026-07-20","https://kie.ai/pricing"
"251","image","OpenAI 4o","OpenAI 4o image, text-to-image","6.0","per image","0.03","","0","https://kie.ai/4o-image-api","2026-07-20","https://kie.ai/pricing"
"252","image","Black Forest Labs","Black Forest Labs flux1-kontext, text-to-image, Pro","5.0","per image","0.025","0.08","68.75","https://kie.ai/flux-kontext-api","2026-07-20","https://kie.ai/pricing"
"253","image","Black Forest Labs","Black Forest Labs flux1-kontext, text-to-image, Max","10.0","per image","0.05","0.08","37.5","https://kie.ai/flux-kontext-api","2026-07-20","https://kie.ai/pricing"
"254","video","Kling","kling 2.5 turbo , text-to-video, Turbo Pro-10.0s","84.0","per video","0.42","0.7","40","https://kie.ai/kling-2-5?model=kling%2Fv2-5-turbo-text-to-video-pro","2026-07-20","https://kie.ai/pricing"
"255","video","Kling","kling 2.5 turbo , image-to-video, Turbo Pro-5.0s","42.0","per video","0.21","0.35","40","https://kie.ai/kling-2-5?model=kling%2Fv2-5-turbo-image-to-video-pro","2026-07-20","https://kie.ai/pricing"
"256","video","Kling","kling 2.5 turbo , image-to-video, Turbo Pro-10.0s","84.0","per video","0.42","0.7","40","https://kie.ai/kling-2-5?model=kling%2Fv2-5-turbo-image-to-video-pro","2026-07-20","https://kie.ai/pricing"
"257","video","Kling","kling 2.5 turbo , text-to-video, Turbo Pro-5.0s","42.0","per video","0.21","0.35","40","https://kie.ai/kling-2-5?model=kling%2Fv2-5-turbo-text-to-video-pro","2026-07-20","https://kie.ai/pricing"
"258","video","Wan","wan 2.5, text-to-video, default-10.0s-720p","120.0","per video","0.6","1.0","40","https://kie.ai/wan-2-5?model=wan%2F2-5-text-to-video","2026-07-20","https://kie.ai/pricing"
"259","video","Wan","wan 2.5, text-to-video, default-5.0s-1080p","100.0","per video","0.5","0.75","33.33","https://kie.ai/wan-2-5?model=wan%2F2-5-text-to-video","2026-07-20","https://kie.ai/pricing"
"260","video","Wan","wan 2.5, text-to-video, default-10.0s-1080p","200.0","per video","1.0","1.5","33.33","https://kie.ai/wan-2-5?model=wan%2F2-5-text-to-video","2026-07-20","https://kie.ai/pricing"
"261","video","Wan","wan 2.5, image-to-video, default-10.0s-1080p","200.0","per video","1.0","1.5","33.33","https://kie.ai/wan-2-5?model=wan%2F2-5-image-to-video","2026-07-20","https://kie.ai/pricing"
"262","video","Wan","wan 2.5, text-to-video, default-5.0s-720p","60.0","per video","0.3","0.5","40","https://kie.ai/wan-2-5?model=wan%2F2-5-text-to-video","2026-07-20","https://kie.ai/pricing"
"263","video","Wan","wan 2.5, image-to-video, default-10.0s-720p","120.0","per video","0.6","1.0","40","https://kie.ai/wan-2-5?model=wan%2F2-5-image-to-video","2026-07-20","https://kie.ai/pricing"
"264","video","Wan","wan 2.5, image-to-video, default-5.0s-1080p","100.0","per video","0.5","0.75","33.33","https://kie.ai/wan-2-5?model=wan%2F2-5-image-to-video","2026-07-20","https://kie.ai/pricing"
"265","video","Wan","wan 2.5, image-to-video, default-5.0s-720p","60.0","per video","0.3","0.5","40","https://kie.ai/wan-2-5?model=wan%2F2-5-image-to-video","2026-07-20","https://kie.ai/pricing"
"266","video","Wan","wan 2.2 Animate, 2.2 Animate Replace, 1.0s-720p","12.5","per second","0.0625","0.08","21.88","https://kie.ai/wan-animate","2026-07-20","https://kie.ai/pricing"
"267","video","Wan","wan 2.2 Animate, 2.2 Animate Replace, 1.0s-580p","9.5","per second","0.0475","0.06","20.83","https://kie.ai/wan-animate","2026-07-20","https://kie.ai/pricing"
"268","video","Wan","wan 2.2 Animate, 2.2 Animate Replace, 1.0s-480p","6","per second","0.03","0.04","25","https://kie.ai/wan-animate","2026-07-20","https://kie.ai/pricing"
"269","video","Wan","wan 2.2, image-to-video, 5.0s-480p","40","per video","0.2","0.25","20","https://kie.ai/wan/v2-2","2026-07-20","https://kie.ai/pricing"
"270","video","Wan","wan 2.2, image-to-video, 5.0s-720p","80.0","per video","0.4","0.5","20","https://kie.ai/wan/v2-2?model=wan%2F2-2-a14b-image-to-video-turbo","2026-07-20","https://kie.ai/pricing"
"271","video","Wan","wan 2.2, image-to-video, 5.0s-580p","60.0","per video","0.3","0.375","20","https://kie.ai/wan/v2-2?model=wan%2F2-2-a14b-image-to-video-turbo","2026-07-20","https://kie.ai/pricing"
"272","video","Wan","wan 2.2,  text-to-video, 5.0s-580p","60.0","per video","0.3","0.375","20","https://kie.ai/wan/v2-2?model=wan%2F2-2-a14b-text-to-video-turbo","2026-07-20","https://kie.ai/pricing"
"273","video","Wan","wan 2.2,  text-to-video, 5.0s-480p","40.0","per video","0.2","0.25","20","https://kie.ai/wan/v2-2?model=wan%2F2-2-a14b-text-to-video-turbo","2026-07-20","https://kie.ai/pricing"
"274","video","Wan","wan 2.2,  text-to-video, 5.0s-720p","80.0","per video","0.4","0.5","20","https://kie.ai/wan/v2-2?model=wan%2F2-2-a14b-text-to-video-turbo","2026-07-20","https://kie.ai/pricing"
"275","video","Wan","wan 2.2 Animate, 2.2 Animate Move, 1.0s-480p","6.0","per second","0.03","0.04","25","https://kie.ai/wan-animate","2026-07-20","https://kie.ai/pricing"
"276","video","Wan","wan 2.2 Animate, 2.2 Animate Move, 1.0s-580p","9.5","per second","0.0475","0.06","20.83","https://kie.ai/wan-animate","2026-07-20","https://kie.ai/pricing"
"277","video","Wan","wan 2.2 Animate, 2.2 Animate Move, 1.0s-720p","12.5","per second","0.0625","0.08","21.88","https://kie.ai/wan-animate","2026-07-20","https://kie.ai/pricing"
"278","video","Other","hailuo 02, text-to-video, Standard-10.0s-768p","50.0","per video","0.25","0.45","44.44","https://kie.ai/hailuo-api?model=hailuo%2F02-text-to-video-standard","2026-07-20","https://kie.ai/pricing"
"279","video","Other","hailuo 02, image-to-video, Standard-10.0s-512p","20.0","per video","0.1","0.17","41.18","https://kie.ai/hailuo-api?model=hailuo%2F02-image-to-video-standard","2026-07-20","https://kie.ai/pricing"
"280","video","Other","hailuo 02, image-to-video, Standard-10.0s-768p","50.0","per video","0.25","0.45","44.44","https://kie.ai/hailuo-api?model=hailuo%2F02-image-to-video-standard","2026-07-20","https://kie.ai/pricing"
"281","video","Other","hailuo 02, text-to-video, Standard-6.0s-768p","30.0","per video","0.15","0.27","44.44","https://kie.ai/hailuo-api?model=hailuo%2F02-text-to-video-standard","2026-07-20","https://kie.ai/pricing"
"282","video","Other","hailuo 02, image-to-video, Standard-6.0s-512p","12.0","per video","0.06","0.102","41.18","https://kie.ai/hailuo-api?model=hailuo%2F02-image-to-video-standard","2026-07-20","https://kie.ai/pricing"
"283","video","Other","hailuo 02, image-to-video, Pro-6.0s-1080p","57.0","per video","0.285","0.48","40.62","https://kie.ai/hailuo-api?model=hailuo%2F02-image-to-video-pro","2026-07-20","https://kie.ai/pricing"
"284","video","Other","hailuo 02, text-to-video, Pro-6.0s-1080p","57.0","per video","0.285","0.48","40.62","https://kie.ai/hailuo-api?model=hailuo%2F02-text-to-video-pro","2026-07-20","https://kie.ai/pricing"
"285","video","Topaz","Topaz Video Upscaler, upscale factor 4x","14","per second","0.07","0.08","12.5","https://kie.ai/topaz-video-upscaler","2026-07-20","https://kie.ai/pricing"
"286","video","Topaz","Topaz Video Upscaler, upscale factor 1x/2x","8.0","per second","0.04","0.08","50","https://kie.ai/topaz-video-upscaler","2026-07-20","https://kie.ai/pricing"
"287","video","Kling","Kling AI Avtar , lip sync, Standard-up to 15 secondss-720p","8.0","per second","0.04","0.0562","28.83","https://kie.ai/kling-ai-avatar?model=kling%2Fv1-avatar-standard","2026-07-20","https://kie.ai/pricing"
"288","video","Kling","Kling AI Avtar , lip sync, Pro-up to 15 secondss-1080p","16.0","per second","0.08","0.115","30.43","https://kie.ai/kling-ai-avatar?model=kling%2Fai-avatar-v1-pro","2026-07-20","https://kie.ai/pricing"
"289","video","Other","MeiGen-AI InfiniteTalk, lip sync, up to 15 secondss-480p","3.0","per second","0.015","0.2","92.5","https://kie.ai/infinitalk","2026-07-20","https://kie.ai/pricing"
"290","video","Other","MeiGen-AI InfiniteTalk, lip sync, up to 15 secondss-720p","12.0","per second","0.06","0.4","85","https://kie.ai/infinitalk","2026-07-20","https://kie.ai/pricing"
"291","image","Recraft","Recraft Crisp Upscale, image to image","0.5","per image","0.0025","0.004","37.5","https://kie.ai/recraft-crisp-upscale","2026-07-20","https://kie.ai/pricing"
"292","image","Ideogram","ideogram v3-remix, image-to-image, BALANCED","7.0","per image","0.035","0.06","41.67","https://kie.ai/ideogram/v3?model=ideogram%2Fv3-remix","2026-07-20","https://kie.ai/pricing"
"293","image","Ideogram","ideogram v3-remix, image-to-image, QUALITY","10.0","per image","0.05","0.09","44.44","https://kie.ai/ideogram/v3?model=ideogram%2Fv3-remix","2026-07-20","https://kie.ai/pricing"
"294","image","Ideogram","ideogram v3-edit, image-to-image, QUALITY","10.0","per image","0.05","0.09","44.44","https://kie.ai/ideogram/v3?model=ideogram%2Fv3-edit","2026-07-20","https://kie.ai/pricing"
"295","image","Ideogram","ideogram v3-remix, image-to-image, TURBO","3.5","per image","0.0175","0.03","41.67","https://kie.ai/ideogram/v3?model=ideogram%2Fv3-remix","2026-07-20","https://kie.ai/pricing"
"296","image","Ideogram","ideogram v3-edit, image-to-image, BALANCED","7.0","per image","0.035","0.06","41.67","https://kie.ai/ideogram/v3?model=ideogram%2Fv3-edit","2026-07-20","https://kie.ai/pricing"
"297","image","Ideogram","ideogram v3-edit, image-to-image, TURBO","3.5","per image","0.0175","0.03","41.67","https://kie.ai/ideogram/v3?model=ideogram%2Fv3-edit","2026-07-20","https://kie.ai/pricing"
"298","image","Ideogram","Ideogram V3 Reframe, image to image, Quality","10.0","per image","0.05","0.09","44.44","https://kie.ai/ideogram-reframe","2026-07-20","https://kie.ai/pricing"
"299","image","Ideogram","Ideogram V3 Reframe, image to image, Balanced","7.0","per image","0.035","0.06","41.67","https://kie.ai/ideogram-reframe","2026-07-20","https://kie.ai/pricing"
"300","image","Ideogram","Ideogram V3 Reframe, image to image, Turbo","3.5","per image","0.0175","0.03","41.67","https://kie.ai/ideogram-reframe","2026-07-20","https://kie.ai/pricing"
"301","music","Elevenlabs","Elevenlabs Text to Speech, turbo 2.5","6.0","per 1000 characters","0.03","0.05","40","https://kie.ai/elevenlabs-tts?model=elevenlabs%2Ftext-to-speech-turbo-2-5","2026-07-20","https://kie.ai/pricing"
